HEADER,FRU Name,FRU Version,LossDate,LossVersion,NumSegments
HDRDATA,CHM6,P1B3,10-15-2020,0.1.5,1
SEGHEADER,No of Records
SEGDATA,256
RECHEADER,Link ID,mdB,Souce,Destination
DATA,105,4176,TMZ_BCM1_Port_TX_9,TMZ_QSFP_P7_TX_2
DATA,106,3019,TMZ_BCM1_Port_TX_10,TMZ_QSFP_P7_TX_3
DATA,107,3647,TMZ_BCM1_Port_TX_11,TMZ_QSFP_P7_TX_4
DATA,108,3071,TMZ_QSFP_P5_RX_1,TMZ_BCM3_Port_RX_8
DATA,109,3343,TMZ_QSFP_P5_RX_2,TMZ_BCM3_Port_RX_9
DATA,110,3323,TMZ_QSFP_P5_RX_3,TMZ_BCM3_Port_RX_10
DATA,111,3255,TMZ_QSFP_P5_RX_4,TMZ_BCM3_Port_RX_11
DATA,112,4368,TMZ_QSFP_P6_RX_1,TMZ_BCM3_Port_RX_12
DATA,113,5891,TMZ_QSFP_P6_RX_2,TMZ_BCM3_Port_RX_13
DATA,114,4615,TMZ_QSFP_P6_RX_3,TMZ_BCM3_Port_RX_14
DATA,115,3636,TMZ_QSFP_P6_RX_4,TMZ_BCM3_Port_RX_15
DATA,116,4050,TMZ_QSFP_P7_RX_1,TMZ_BCM1_Port_RX_8
DATA,117,3660,TMZ_QSFP_P7_RX_2,TMZ_BCM1_Port_RX_9
DATA,118,4427,TMZ_QSFP_P7_RX_3,TMZ_BCM1_Port_RX_10
DATA,119,5582,TMZ_QSFP_P7_RX_4,TMZ_BCM1_Port_RX_11
DATA,120,3569,TMZ_BCM3_Port_TX_2,TMZ_QSFP_P3_TX_3
DATA,121,4133,TMZ_BCM3_Port_TX_3,TMZ_QSFP_P3_TX_4
DATA,122,4810,TMZ_BCM3_Port_TX_0,TMZ_QSFP_P3_TX_1
DATA,123,5175,TMZ_BCM3_Port_TX_1,TMZ_QSFP_P3_TX_2
DATA,124,2884,TMZ_BCM3_Port_TX_6,TMZ_QSFP_P4_TX_3
DATA,125,3679,TMZ_BCM3_Port_TX_7,TMZ_QSFP_P4_TX_4
DATA,126,2965,TMZ_BCM3_Port_TX_4,TMZ_QSFP_P4_TX_1
DATA,127,3334,TMZ_BCM3_Port_TX_5,TMZ_QSFP_P4_TX_2
DATA,128,3010,TMZ_BCM2_Port_TX_10,TMZ_QSFP_P2_TX_3
DATA,129,3384,TMZ_BCM2_Port_TX_11,TMZ_QSFP_P2_TX_4
DATA,130,3297,TMZ_BCM2_Port_TX_8,TMZ_QSFP_P2_TX_1
DATA,131,3360,TMZ_BCM2_Port_TX_9,TMZ_QSFP_P2_TX_2
DATA,132,3332,TMZ_QSFP_P3_RX_1,TMZ_BCM3_Port_RX_0
DATA,133,3800,TMZ_QSFP_P3_RX_2,TMZ_BCM3_Port_RX_1
DATA,134,3974,TMZ_QSFP_P3_RX_3,TMZ_BCM3_Port_RX_2
DATA,135,3535,TMZ_QSFP_P3_RX_4,TMZ_BCM3_Port_RX_3
DATA,136,3447,TMZ_QSFP_P4_RX_3,TMZ_BCM3_Port_RX_6
DATA,137,3167,TMZ_QSFP_P4_RX_4,TMZ_BCM3_Port_RX_7
DATA,138,3332,TMZ_QSFP_P4_RX_1,TMZ_BCM3_Port_RX_4
DATA,139,3390,TMZ_QSFP_P4_RX_2,TMZ_BCM3_Port_RX_5
DATA,140,5071,TMZ_QSFP_P2_RX_1,TMZ_BCM2_Port_RX_8
DATA,141,3399,TMZ_QSFP_P2_RX_2,TMZ_BCM2_Port_RX_9
DATA,142,3505,TMZ_QSFP_P2_RX_3,TMZ_BCM2_Port_RX_10
DATA,143,3296,TMZ_QSFP_P2_RX_4,TMZ_BCM2_Port_RX_11
DATA,144,3569,BMZ_BCM3_Port_TX_2,BMZ_QSFP_P11_TX_3
DATA,145,4133,BMZ_BCM3_Port_TX_3,BMZ_QSFP_P11_TX_4
DATA,146,4810,BMZ_BCM3_Port_TX_0,BMZ_QSFP_P11_TX_1
DATA,147,5175,BMZ_BCM3_Port_TX_1,BMZ_QSFP_P11_TX_2
DATA,148,2884,BMZ_BCM3_Port_TX_6,BMZ_QSFP_P12_TX_3
DATA,149,3679,BMZ_BCM3_Port_TX_7,BMZ_QSFP_P12_TX_4
DATA,150,2965,BMZ_BCM3_Port_TX_4,BMZ_QSFP_P12_TX_1
DATA,151,3334,BMZ_BCM3_Port_TX_5,BMZ_QSFP_P12_TX_2
DATA,152,3010,BMZ_BCM2_Port_TX_10,BMZ_QSFP_P10_TX_3
DATA,153,3384,BMZ_BCM2_Port_TX_11,BMZ_QSFP_P10_TX_4
DATA,154,3297,BMZ_BCM2_Port_TX_8,BMZ_QSFP_P10_TX_1
DATA,155,3360,BMZ_BCM2_Port_TX_9,BMZ_QSFP_P10_TX_2
DATA,156,3974,BMZ_QSFP_P11_RX_3,BMZ_BCM3_Port_RX_2
DATA,157,3535,BMZ_QSFP_P11_RX_4,BMZ_BCM3_Port_RX_3
DATA,158,3332,BMZ_QSFP_P11_RX_1,BMZ_BCM3_Port_RX_0
DATA,159,3800,BMZ_QSFP_P11_RX_2,BMZ_BCM3_Port_RX_1
DATA,160,3447,BMZ_QSFP_P12_RX_3,BMZ_BCM3_Port_RX_6
DATA,161,3167,BMZ_QSFP_P12_RX_4,BMZ_BCM3_Port_RX_7
DATA,162,3332,BMZ_QSFP_P12_RX_1,BMZ_BCM3_Port_RX_4
DATA,163,3390,BMZ_QSFP_P12_RX_2,BMZ_BCM3_Port_RX_5
DATA,164,3505,BMZ_QSFP_P10_RX_3,BMZ_BCM2_Port_RX_10
DATA,165,3296,BMZ_QSFP_P10_RX_4,BMZ_BCM2_Port_RX_11
